URL,Wilayah,Kecamatan,Luas Tanah (m2),Luas Bangunan (m2),Jumlah Kamar,Jumlah Kamar Mandi,Tingkat/Lantai,Harga Jual,Terjual/Belum,Arah Hadap Rumah,Posisi Rumah,Lebar Jalan Depan Rumah (ROW),Carport,"Siap Huni 
(Y/N)","Furnish 
(Y/N)",Watt Listrik,Dekat Pasar,Dekat Sekolah,Dekat Puskesmas/RS,Dekat Mall,Dekat Tempat Ibadah,Dekat Makam,Dekat Club House,Dekat Jalan Raya Utama,Worth-it
,Timur,Mulyorejo,158,178,4,2,2,"Rp5,000,000,000",Belum,Utara,Tengah,6,0,Y,N,2200,N,N,N,Y,N,Y,N,N,Not Worth-It
,Pusat,Tambaksari,200,200,4,3,2,"Rp2,750,000,000",Belum,Barat,Tengah,6,0,Y,N,2200,N,N,N,N,N,N,N,N,Not Worth-It
,Timur,Sukolilo,280,350,4,3,1,"Rp4,500,000,000",Belum,Utara,Tengah,6,0,Y,N,2200,N,N,N,Y,N,N,N,N,Not Worth-It
,Barat,Lakarsantri,210,310,5,4,2,"Rp6,200,000,000",Belum,Selatan,Tengah,3,2,Y,N,2200,N,N,Y,Y,N,N,N,N,Not Worth-It
,Pusat,Gubeng,150,200,4,4,2,"Rp2,500,000,000",Belum,Selatan,Tengah,6,0,Y,N,2200,N,N,Y,Y,N,N,N,N,Worth-It
,Pusat,Gubeng,395,300,4,2,2,"Rp2,700,000,000",Belum,Selatan,Tengah,6,0,N,N,2200,N,Y,N,N,N,N,N,N,Worth-It
,Timur,Rungkut,168,150,3,2,1,"Rp2,500,000,000",Belum,Timur,Tengah,6,0,N,Y,2200,N,N,Y,Y,N,N,N,N,Not Worth-It
,Selatan,Gayungan,120,85,2,1,2,"Rp2,980,000,000",Belum,Utara,Tengah,6,0,N,Y,2200,Y,Y,Y,Y,N,N,N,N,Not Worth-It
,Barat,Lakarsantri,288,180,3,2,1,"Rp5,200,000,000",Belum,Timur,Tengah,3,0,N,Y,2200,N,N,Y,Y,N,N,N,Y,Not Worth-It
,Barat,Pakal,100,120,4,3,2,"Rp2,100,000,000",Belum,Selatan,Tengah,3,0,N,Y,4400,N,Y,Y,Y,N,N,N,N,Worth-It
,Timur,Mulyorejo,189,300,4,3,2,"Rp4,850,000,000",Belum,Selatan,Tengah,3,2,N,Y,5500,N,N,N,Y,N,Y,N,N,Not Worth-It
,Timur,Rungkut,203,300,3,3,2,"Rp2,250,000,000",Belum,Selatan,Tengah,6,3,N,N,4400,N,Y,N,N,N,N,N,N,Worth-It
,Timur,Mulyorejo,150,230,4,4,1,"Rp4,050,000,000",Belum,Selatan,Tengah,3,2,N,N,2200,N,N,N,Y,N,N,N,N,Not Worth-It
,Pusat,Gubeng,135,105,2,1,1,"Rp2,500,000,000",Belum,Utara,Tengah,6,1,N,Y,2200,N,Y,N,Y,N,N,N,N,Worth-It
,Barat,Lakarsantri,200,310,3,3,2,"Rp3,900,000,000",Belum,Selatan,Tengah,6,1,N,Y,4400,N,N,Y,N,N,N,N,N,Not Worth-It
,Pusat,Gubeng,152,120,4,2,1,"Rp1,330,000,000",Belum,Selatan,Tengah,2,1,N,Y,2200,N,N,N,N,N,N,N,N,Worth-It
,Pusat,Gubeng,300,220,4,3,2,"Rp3,060,000,000",Belum,Selatan,Tengah,2,1,Y,Y,2200,N,N,N,N,N,N,N,N,Worth-It
,Pusat,Gubeng,160,200,4,3,2,"Rp2,250,000,000",Belum,Utara,Tengah,2,1,Y,Y,2200,N,N,N,Y,N,N,N,N,Not Worth-It
,Selatan,Jambangan,90,145,3,2,2,"Rp1,900,000,000",Belum,Utara,Tengah,2,1,N,Y,3500,N,Y,N,Y,N,N,N,N,Worth-It
,Pusat,Simokerto,128,170,3,3,5,"Rp1,200,000,000",Belum,Utara,Tengah,2,0,N,N,2200,Y,N,Y,N,N,N,N,N,Worth-It
,Selatan,Jambangan,120,170,4,4,2,"Rp2,150,000,000",Belum,Timur,Tengah,6,0,Y,N,2200,N,Y,N,N,N,N,N,N,Not Worth-It
,Barat,Lakarsantri,235,234,4,3,2,"Rp4,800,000,000",Belum,Selatan,Tengah,6,0,N,N,2200,N,N,Y,N,N,N,N,N,Not Worth-It
,Selatan,Jambangan,120,134,3,3,1,"Rp1,850,000,000",Belum,Selatan,Tengah,6,1,N,N,2200,Y,Y,N,Y,N,N,N,N,Not Worth-It
,Barat,Sambikerep,302,450,5,5,2,"Rp5,500,000,000",Belum,Barat,Tengah,3,4,Y,Y,5500,N,Y,N,Y,N,N,N,N,Worth-It
,Pusat,Gubeng,160,200,2,1,1,"Rp700,000,000",Belum,Utara,Tengah,6,1,N,N,2200,N,N,N,N,N,N,N,N,Worth-It
